date,holding_amount,open_amount,high_amount,low_amount,close_amount
2022-08-12,48224.4,81305.5,82715.5,80527.5,81838.5
2022-08-13,48224.4,81305.5,82715.5,80527.5,81838.5
2022-08-14,48224.4,81305.5,82715.5,80527.5,81838.5
2022-08-15,48224.4,81305.5,82715.5,80527.5,81838.5
2022-08-16,48224.4,82228.5,83970.0,81756.5,83594.0
2022-08-17,48224.4,84061.0,84904.0,83122.0,83344.5
2022-08-18,48224.4,83153.0,83852.5,82526.5,83381.5
2022-08-19,48224.4,83708.0,84293.0,80841.0,81225.0
2022-08-20,48224.4,83708.0,84293.0,80841.0,81225.0
2022-08-21,48224.4,83708.0,84293.0,80841.0,81225.0
2022-08-22,48224.4,80977.0,81021.0,77943.0,78338.0
2022-08-23,48224.4,77575.0,80260.0,77272.5,80000.0
2022-08-24,48224.4,79781.0,80641.5,79141.0,79998.5
2022-08-25,48224.4,80425.0,81088.0,79283.0,79557.0
2022-08-26,48224.4,80384.5,81726.0,80259.5,80997.0
2022-08-27,48224.4,80384.5,81726.0,80259.5,80997.0
2022-08-28,48224.4,80384.5,81726.0,80259.5,80997.0
2022-08-29,48224.4,78425.0,79980.0,78332.5,79471.0
2022-08-30,48224.4,80197.5,82081.0,80043.5,81871.0
2022-08-31,48224.4,80197.5,82081.0,80043.5,81871.0
2022-09-01,48224.4,80735.5,82688.0,80605.5,81491.5
2022-09-02,48224.4,82068.0,82319.0,80414.0,80684.0
2022-09-03,48224.4,82068.0,82319.0,80414.0,80684.0
2022-09-04,48224.4,82068.0,82319.0,80414.0,80684.0
2022-09-05,48224.4,80521.0,81375.5,80212.0,80595.5
2022-09-06,48224.4,81139.5,82771.0,80467.5,82083.0
2022-09-07,48224.4,81571.0,82521.5,80364.0,80841.0
2022-09-08,48224.4,81882.5,81973.5,79764.0,80175.0
2022-09-09,48224.4,80939.0,81225.5,79468.5,80166.5
2022-09-10,48224.4,80939.0,81225.5,79468.5,80166.5
2022-09-11,48224.4,80939.0,81225.5,79468.5,80166.5
2022-09-12,48224.4,80545.0,81293.0,80179.5,80739.5
2022-09-13,48224.4,81231.0,81840.0,80586.0,81056.0
2022-09-14,48224.4,79609.5,81306.0,79432.5,80467.5
2022-09-15,48224.4,80812.5,81827.5,79818.5,80750.5
2022-09-16,48224.4,80848.5,81013.5,77061.0,77939.0
2022-09-17,48224.4,80848.5,81013.5,77061.0,77939.0
2022-09-18,48224.4,80848.5,81013.5,77061.0,77939.0
2022-09-19,48224.4,78017.0,78094.5,76448.0,76653.0
2022-09-20,48224.4,77558.0,79194.0,77432.0,77957.0
2022-09-21,48224.4,77964.5,78332.0,76362.5,76702.5
2022-09-22,48224.4,76129.0,77734.0,75640.5,77220.5
2022-09-23,48224.4,77132.0,77294.0,74865.5,75259.0
2022-09-24,48224.4,77132.0,77294.0,74865.5,75259.0
2022-09-25,48224.4,77132.0,77294.0,74865.5,75259.0
2022-09-26,48224.4,74302.5,74602.5,70507.5,71354.5
2022-09-27,48224.4,72286.0,72674.0,70517.5,71809.0
2022-09-28,48224.4,71050.5,72488.0,70515.0,71306.5
2022-09-29,48224.4,72821.5,73318.5,70853.0,71375.0
2022-09-30,48224.4,70944.5,72689.5,70110.5,72236.5
2022-10-01,48224.4,70944.5,72689.5,70110.5,72236.5
2022-10-02,48224.4,70944.5,72689.5,70110.5,72236.5
2022-10-03,48224.4,72326.5,72652.5,70638.0,71050.5
2022-10-04,48224.4,72420.5,73181.0,72024.0,72942.5
2022-10-05,48224.4,72420.5,73181.0,72024.0,72942.5
2022-10-06,48224.4,73399.5,74532.5,73278.5,73950.0
2022-10-07,48224.4,73873.5,74118.5,72977.5,73875.5
2022-10-08,48224.4,73873.5,74118.5,72977.5,73875.5
2022-10-09,48224.4,73873.5,74118.5,72977.5,73875.5
2022-10-10,48224.4,72636.5,72746.0,71178.5,71947.5
2022-10-11,48224.4,72059.0,72580.0,70914.5,71214.5
2022-10-12,48224.4,71459.5,72029.5,70681.0,71651.0
2022-10-13,48224.4,71651.0,72483.0,70793.5,71629.5
2022-10-14,48224.4,72994.5,73301.0,71165.5,71318.0
2022-10-15,48224.4,72994.5,73301.0,71165.5,71318.0
2022-10-16,48224.4,72994.5,73301.0,71165.5,71318.0
2022-10-17,48224.4,70961.5,71967.5,70643.0,71606.0
2022-10-18,48224.4,72256.5,73260.0,72167.5,72816.5
2022-10-19,48224.4,73121.5,73232.5,71667.5,71967.5
2022-10-20,48224.4,71681.0,72480.5,71035.0,72226.5
2022-10-21,48224.4,72185.0,72854.0,71408.5,71896.0
2022-10-22,48224.4,72185.0,72854.0,71408.5,71896.0
2022-10-23,48224.4,72185.0,72854.0,71408.5,71896.0
2022-10-24,48224.4,73041.5,73064.0,72061.5,72309.0
2022-10-25,48224.4,72597.0,73771.5,72268.5,72846.5
